Study,Organism,Experiment,RelativeDensity,PredictedP,n,EstimatedVariance,ObservedVariance,LowerBound,UpperBound,EstimatedIS,ObservedIS,LowerIS,UpperIS
Akre1979,Odonate,1,0.23,0.1,38,0.0024,0.00315,0.00035,0.007,0.96,0.95,0.94,0.99
Akre1979,Odonate,1,0.41,0.212,30,0.0056,0.0084,0.00078,0.015,0.95,0.91,0.9,0.98
Akre1979,Odonate,1,0.045,0.018,24,0.0007,0,0,0.003,0.98,1,0.96,1
Akre1979,Odonate,1,0.6,0.36,27,0.0085,0.06,0.001,0.024,0.93,0.78,0.88,0.98
Akre1979,Odonate,1,0.77,0.57,17,0.014,0.125,0.0017,0.04,0.91,0.68,0.84,0.98
Akre1979,Odonate,1,0.95,0.89,11,0.0088,0.0007,0.0016,0.026,0.93,0.97,0.88,0.97
Akre1979,Odonate,2,0.23,0.06,47,0.0013,0.0045,0.00014,0.004,0.98,0.94,0.95,0.99
Akre1979,Odonate,2,0.41,0.14,40,0.003,0.0015,0.00044,0.0084,0.96,0.97,0.93,0.98
Akre1979,Odonate,2,0.045,0.01,46,0.00024,0,0,0.0008,0.99,1,0.98,1
Akre1979,Odonate,2,0.6,0.25,43,0.004,0.0194,0.00054,0.12,0.95,0.89,0.91,0.98
Akre1979,Odonate,2,0.77,0.444,23,0.011,0.0166,0.0013,0.03,0.93,0.88,0.87,0.97
Akre1979,Odonate,2,0.95,0.83,21,0.0067,0.003,0.0007,0.019,0.94,0.95,0.89,0.98
Bayliss1982,Whelk,1,0.83,0.98,8,0.0024,0,0,0.011,0.98,1,0.95,1
Bayliss1982,Whelk,1,0.5,0.91,14,0.006,0.0063,0.00085,0.016,0.93,0.93,0.86,0.97
Bayliss1982,Whelk,1,0.167,0.67,8,0.026,0.0456,0.0042,0.067,0.88,0.79,0.79,0.94
Bayliss1982,Whelk,2,0.5,0.56,12,0.02,0.0285,0.004,0.05,0.9,0.94,0.82,0.95
Bayliss1982,Whelk,2,0.83,0.86,13,0.009,0.004,0.0018,0.026,0.96,0.96,0.88,0.97
Bayliss1982,Whelk,2,0.17,0.2,10,0.016,0.0286,0.0027,0.04,0.91,0.86,0.83,0.97
Bayliss1982,Whelk,3,0.5,0.5,9,0.028,0.055,0.005,0.067,0.88,0.8,0.8,0.95
Bayliss1982,Whelk,3,0.83,0.83,13,0.01,0.0027,0.0016,0.0276,0.92,0.96,0.87,0.97
Bayliss1982,Whelk,3,0.17,0.17,11,0.012,0.00024,0.00022,0.033,0.92,0.96,0.86,0.97
Bell1999,Fish,1,0.25,0.068,8,0.008,0.006,0,0.036,NA,NA,NA,NA
Bell1999,Fish,1,0.5,0.18,8,0.018,0.017,0,0.068,NA,NA,NA,NA
Bell1999,Fish,1,0.75,0.4,8,0.03,0.085,0,0.109,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.2,0.213,8,0.021,0.03,0.007,0.044,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.4,0.42,8,0.03,0.06,0.01,0.062,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.5,0.52,8,0.03,0.046,0.01,0.062,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.6,0.62,8,0.03,0.03,0.01,0.06,NA,NA,NA,NA
Bloisheulin1990,Odonate,1,0.8,0.81,8,0.02,0.03,0.006,0.041,NA,NA,NA,NA
