Study,Organism,Experiment,RelativeDensityNumber,ExpectedMaximum,ObservedMaximum
Akre1979,Odonate,1,>3,0.72,0.76
Akre1979,Odonate,2,>3,0.8,0.68
Bayliss1982,Whelk,1,3,0.09,0.17
Bayliss1982,Whelk,2,3,0.44,0.17
Bayliss1982,Whelk,3,3,0.5,0.5
Bell1999,Fish,1,3,0.82,0.75
Bloisheulin1990,Odonate,1,>3,0.48,0.38
Bloisheulin1990,Odonate,2,>3,0.32,0.34
Buckel2000,Fish,1,>3,0.42,0.42
Buckel2000,Fish,2,>3,0.46,0.44
Butler1991,Mite,1,>3,0.56,0.55
Butler1991,Mite,2,>3,0.49,0.33
Cuthbert2018,Amphipod,1,>3,0.21,0.22
Daly2013,Crab,1,>3,0.49,0.62
Daly2013,Crab,2,>3,0.52,0.44
Dinis2016,Beetle,1,>3,0.03,0.1
Dinis2016,Beetle,2,>3,0.59,0.46
Ejdung2001,Isopod,1,3,0.1,0.25
Flinn1985,Insect,1,>3,0.88,0.75
Hill1992,Isopod,1,3,0.48,0.25
Johansson1992,Odonate,1,>3,0.38,0.5
Katz1985,Whelk,1,>3,0.03,0.125
Mattila1997,Fish,1,3,0.29,0.1
Murdoch1969,Whelk,1,>3,0.47,0.44
Murdoch1969,Whelk,2,>3,0.08,0.165
Murdoch1973,Ladybird,1,>3,0.62,0.55
Murdoch1973,Ladybird,2,>3,0.59,0.69
Murdoch1973,Ladybird,3,>3,0.59,0.54
Murdoch1975,Fish,1,>3,0.62,0.63
Sherratt1989,Odonate,1,3,0.6,0.5
Sherratt1989,Odonate,2,3,0.69,0.8
Sherratt1989,Odonate,3,3,0.75,0.5
Vantornhout2006,Mite,1,3,0.8,0.66
Vantornhout2006,Mite,2,3,0.64,0.33
Vantornhout2006,Mite,3,3,0.16,0.33
Vantornhout2006,Mite,4,3,0.46,0.5
