Relative Density,Proportion In Diet
0.064327485,0
0.064327485,0
0.064327485,0
0.064327485,0
0.064327485,0
0.232748538,0.037431579
0.228070175,0.104617544
0.228070175,0.152617544
0.228070175,0.171817544
0.228070175,0.195817544
0.419883041,0.153192982
0.419883041,0.177192982
0.419883041,0.196392982
0.419883041,0.345192982
0.419883041,0.373992982
0.602339181,0.004940351
0.607017544,0.177754386
0.607017544,0.249754386
0.602339181,0.547340351
0.602339181,0.672140351
0.789473684,0.005501754
0.784795322,0.259887719
0.784795322,0.639087719
0.789473684,0.739901754
0.784795322,1
0.962573099,0.932421053
0.962573099,0.956421053
0.962573099,1
0.962573099,0.999621053
0.962573099,0.994821053
