Relative Density,Proportion in Diet
0.047619048,0
0.047619048,0
0.047619048,0
0.047619048,0
0.047619048,0
0.228571429,0
0.228571429,0
0.228571429,0.026287263
0.233333333,0.119008904
0.233333333,0.162911343
0.40952381,0
0.40952381,0
0.40952381,0.018002323
0.414285714,0.037553233
0.414285714,0.105845916
0.595238095,0.063414634
0.595238095,0.082926829
0.595238095,0.092682927
0.595238095,0.117073171
0.6,0.434185056
0.785714286,0.352768099
0.785714286,0.440572977
0.780952381,0.557607433
0.780952381,0.664924506
0.780952381,0.68931475
0.961904762,0.871273713
0.957142857,0.900503291
0.961904762,0.944444444
0.961904762,1.017615176
0.957142857,0.871234998
