Trained,RelativeDensity,AcyrthEaten,AphisEaten
Acyrth,0.1,7,18
Acyrth,0.1,7,21
Acyrth,0.1,4,14
Acyrth,0.1,3,27
Acyrth,0.1,2,26
Acyrth,0.1,4,26
Acyrth,0.1,2,24
Acyrth,0.25,17,14
Acyrth,0.25,2,18
Acyrth,0.25,13,20
Acyrth,0.25,9,25
Acyrth,0.25,1,18
Acyrth,0.25,10,36
Acyrth,0.5,10,10
Acyrth,0.5,27,12
Acyrth,0.5,2,12
Acyrth,0.5,2,14
Acyrth,0.5,16,32
Acyrth,0.5,16,16
Acyrth,0.75,4,14
Acyrth,0.75,32,12
Acyrth,0.75,22,9
Acyrth,0.75,23,7
Acyrth,0.75,27,10
Acyrth,0.75,19,10
Acyrth,0.9,32,0
Acyrth,0.9,60,4
Acyrth,0.9,33,5
Acyrth,0.9,27,2
Acyrth,0.9,20,3
Acyrth,0.9,28,5
Aphis,0.1,6,53
Aphis,0.1,6,53
Aphis,0.1,3,46
Aphis,0.1,2,25
Aphis,0.1,2,33
Aphis,0.1,2,27
Aphis,0.25,6,21
Aphis,0.25,6,28
Aphis,0.25,11,27
Aphis,0.25,14,37
Aphis,0.25,12,29
Aphis,0.25,9,29
Aphis,0.5,17,24
Aphis,0.5,9,14
Aphis,0.5,25,29
Aphis,0.5,12,29
Aphis,0.5,29,27
Aphis,0.75,48,12
Aphis,0.75,25,9
Aphis,0.75,14,13
Aphis,0.75,16,16
Aphis,0.75,34,12
Aphis,0.75,23,5
Aphis,0.9,61,5
Aphis,0.9,42,6
Aphis,0.9,17,2
Aphis,0.9,48,8
Aphis,0.9,52,5
Aphis,0.9,27,7
Control,0.1,3,18
Control,0.1,2,24
Control,0.1,2,19
Control,0.1,3,19
Control,0.1,5,26
Control,0.1,8,39
Control,0.25,11,22
Control,0.25,8,15
Control,0.25,7,14
Control,0.25,7,16
Control,0.25,15,16
Control,0.25,6,20
Control,0.5,17,20
Control,0.5,14,11
Control,0.5,12,29
Control,0.5,16,17
Control,0.5,17,35
Control,0.5,12,25
Control,0.75,28,8
Control,0.75,16,9
Control,0.75,55,9
Control,0.75,31,5
Control,0.75,34,5
Control,0.75,26,9
Control,0.9,39,1
Control,0.9,33,1
Control,0.9,58,3
Control,0.9,39,6
Control,0.9,39,3
Control,0.9,38,4
